State,City,Received,Approved,Denied,Pending,Category,Year,Quarter,Start_date,End_date
Alabama,Montgomery,454,775,182,1647,Family,2019,2,2019-01-01,2019-03-31
Alaska,Anchorage,118,132,16,399,Family,2019,2,2019-01-01,2019-03-31
Arizona,Phoenix,926,796,168,6645,Family,2019,2,2019-01-01,2019-03-31
Arizona,Tucson,326,608,46,898,Family,2019,2,2019-01-01,2019-03-31
Arkansas,Fort Smith,159,257,18,622,Family,2019,2,2019-01-01,2019-03-31
California,Chula Vista,0,0,0,0,Family,2019,2,2019-01-01,2019-03-31
California,Fresno,686,1102,145,1869,Family,2019,2,2019-01-01,2019-03-31
California,Imperial,111,174,16,297,Family,2019,2,2019-01-01,2019-03-31
California,Los Angeles,1655,2534,316,8109,Family,2019,2,2019-01-01,2019-03-31
California,Los Angeles County,1484,2079,301,7192,Family,2019,2,2019-01-01,2019-03-31
California,Sacramento,779,992,100,2916,Family,2019,2,2019-01-01,2019-03-31
California,San Bernardino,1425,2818,369,3829,Family,2019,2,2019-01-01,2019-03-31
California,San Diego,1041,1295,156,2937,Family,2019,2,2019-01-01,2019-03-31
California,San Fernando Valley,993,1055,266,6626,Family,2019,2,2019-01-01,2019-03-31
California,San Francisco,1672,1486,141,11860,Family,2019,2,2019-01-01,2019-03-31
California,San Jose,881,1402,127,4527,Family,2019,2,2019-01-01,2019-03-31
California,Santa Ana,1140,1414,249,6044,Family,2019,2,2019-01-01,2019-03-31
Colorado,Denver,992,1380,208,3337,Family,2019,2,2019-01-01,2019-03-31
Connecticut,Hartford,779,587,125,3681,Family,2019,2,2019-01-01,2019-03-31
Delaware,Dover,0,0,0,0,Family,2019,2,2019-01-01,2019-03-31
District Of Columbia,Washington,1311,1559,149,5238,Family,2019,2,2019-01-01,2019-03-31
Florida,Hialeah,644,1535,160,2323,Family,2019,2,2019-01-01,2019-03-31
Florida,Jacksonville,457,515,88,1202,Family,2019,2,2019-01-01,2019-03-31
Florida,Kendall,619,1030,136,2421,Family,2019,2,2019-01-01,2019-03-31
Florida,Miami,1002,258,119,10159,Family,2019,2,2019-01-01,2019-03-31
Florida,Fort Myers,395,358,86,2430,Family,2019,2,2019-01-01,2019-03-31
Florida,Oakland Park,1331,1618,297,9966,Family,2019,2,2019-01-01,2019-03-31
Florida,Orlando,1373,1729,304,6291,Family,2019,2,2019-01-01,2019-03-31
Florida,Tampa,1052,1201,199,2941,Family,2019,2,2019-01-01,2019-03-31
Florida,West Palm Beach,1057,1656,260,3764,Family,2019,2,2019-01-01,2019-03-31
Georgia,Atlanta,1951,2125,302,10109,Family,2019,2,2019-01-01,2019-03-31
Hawaii,Honolulu,282,270,56,1169,Family,2019,2,2019-01-01,2019-03-31
Idaho,Boise,188,461,49,662,Family,2019,2,2019-01-01,2019-03-31
Illinois,Chicago,2811,3670,534,13754,Family,2019,2,2019-01-01,2019-03-31
Indiana,Indianapolis,645,544,94,2064,Family,2019,2,2019-01-01,2019-03-31
Iowa,Des Moines,225,392,47,816,Family,2019,2,2019-01-01,2019-03-31
Kansas,Wichita,159,268,20,643,Family,2019,2,2019-01-01,2019-03-31
Kentucky,Louisville,254,339,46,834,Family,2019,2,2019-01-01,2019-03-31
Louisiana,New Orleans,381,537,59,1830,Family,2019,2,2019-01-01,2019-03-31
Maine,Portland,92,69,nan,285,Family,2019,2,2019-01-01,2019-03-31
Maryland,Baltimore,1566,1996,300,9604,Family,2019,2,2019-01-01,2019-03-31
Massachusetts,Boston,1836,1578,315,5202,Family,2019,2,2019-01-01,2019-03-31
Massachusetts,Lawrence,615,786,167,2111,Family,2019,2,2019-01-01,2019-03-31
Michigan,Detroit,828,1084,110,2357,Family,2019,2,2019-01-01,2019-03-31
Minnesota,St. Paul,802,1019,152,4538,Family,2019,2,2019-01-01,2019-03-31
